,CODE,NAME OF STOCK,CUR,"PRV,CLO/",ASK/,HIGH/,SHARES TRADED/
,,,,CLOSING,BID,LOW,TURNOVER ($)
,,,,"2,62","2,61","2,62",1987257
,259,YEEBO (INT'L H),HKD,"1,08","1,08","1,08",96000
,,,,"1,08","1,07","1,05",101720
,260,AVIC JOY HLDG,HKD,"0,063","0,067","0,064",80500
,,,,"0,064","0,062","0,064",5148
,261,CCT LAND,HKD,"0,01","0,01","0,01",2640000
,,,,"0,01",-,"0,01",22560
,262,DESON DEV INT'L,HKD,"0,232","0,232","0,231",190000
,,,,"0,228","0,225","0,228",43620
,263,GT GROUP HLDG,HKD,"0,072","0,075","0,071",1400000
,,,,"0,071","0,071","0,07",99100
,264,ASCENT INT'L,HKD,TRADING,SUSPENDED,,
,265,ORIENT VICTORY,HKD,"0,172","0,18","0,179",40000
,,,,"0,179","0,155","0,179",7160
,266,TIAN TECK LAND,HKD,"8,50","8,68","8,62",24000
,,,,"8,50","8,50","8,50",206240
,267,CITIC,HKD,"12,96","12,90","12,92",14056252
,,,,"12,90","12,88","12,74",180637262
,268,KINGDEE INT'L,HKD,"8,00","8,11","8,37",30740627
